address	function	mnemonic	instruction	old_bytes	disp_offset	veh_offset	disp_value
0040d5a9	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040d6d5	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040d6f1	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040d796	draw_flash(int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
0040d7a3	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040d7ba	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040d806	draw_flash(int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
0040d86e	draw_flash(int)	MOV	MOV DL,byte ptr [ESI + 0x952836]	8A 96 36 28 95 00	2	0xE	0x952836
0040d885	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952856]	0F BF 86 56 28 95 00	3	0x2E	0x952856
0040d8ef	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952836]	8A 8E 36 28 95 00	2	0xE	0x952836
0040d912	draw_flash(int)	MOV	MOV DL,byte ptr [ESI + 0x952850]	8A 96 50 28 95 00	2	0x28	0x952850
0040d9cf	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952850]	8A 8E 50 28 95 00	2	0x28	0x952850
0040dab7	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040db63	draw_flash(int)	MOV	MOV DL,byte ptr [ESI + 0x952850]	8A 96 50 28 95 00	2	0x28	0x952850
0040db89	draw_flash(int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
0040dbbc	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x95284d]	8A 8E 4D 28 95 00	2	0x25	0x95284D
0040dbd0	draw_flash(int)	MOV	MOV DL,byte ptr [ESI + 0x952850]	8A 96 50 28 95 00	2	0x28	0x952850
0040dc0d	draw_flash(int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
0040dc75	draw_flash(int)	MOV	MOV AL,byte ptr [ESI + 0x95284d]	8A 86 4D 28 95 00	2	0x25	0x95284D
0040dc7f	draw_flash(int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
0040dcbe	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040dcf0	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952850]	8A 8E 50 28 95 00	2	0x28	0x952850
0040de98	draw_flash(int)	MOV	MOV AL,byte ptr [ESI + 0x952838]	8A 86 38 28 95 00	2	0x10	0x952838
0040df2c	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040df7a	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952838]	8A 8E 38 28 95 00	2	0x10	0x952838
0040df9e	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040dff1	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952838]	8A 8E 38 28 95 00	2	0x10	0x952838
0040e015	draw_flash(int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0040e092	draw_flash(int)	MOV	MOV DL,byte ptr [ESI + 0x952838]	8A 96 38 28 95 00	2	0x10	0x952838
0040e191	draw_flash(int)	MOV	MOV CL,byte ptr [ESI + 0x952836]	8A 8E 36 28 95 00	2	0xE	0x952836
0040e1f6	draw_flash(int)	MOV	MOV AL,byte ptr [ESI + 0x952839]	8A 86 39 28 95 00	2	0x11	0x952839
0040e72c	draw_production(int)	MOV	MOV byte ptr [EAX*0x4 + 0x95284c],CL	88 0C 85 4C 28 95 00	3	0x24	0x95284C
00410528	draw_garrison(int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x95285a]	66 8B 0C 8D 5A 28 95 00	4	0x32	0x95285A
0041053e	draw_garrison(int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x95285a]	66 8B 0C 8D 5A 28 95 00	4	0x32	0x95285A
00410556	draw_garrison(int)	MOVSX	MOVSX EAX,word ptr [EAX*0x4 + 0x952858]	0F BF 04 85 58 28 95 00	4	0x30	0x952858
00410603	draw_garrison(int)	MOV	MOV AX,word ptr [ECX*0x4 + 0x95285a]	66 8B 04 8D 5A 28 95 00	4	0x32	0x95285A
00410619	draw_garrison(int)	MOV	MOV AX,word ptr [EAX*0x4 + 0x95285a]	66 8B 04 85 5A 28 95 00	4	0x32	0x95285A
004106a5	draw_garrison(int)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952832]	0F BF 80 32 28 95 00	3	0xA	0x952832
004107e9	draw_garrison(int)	MOVSX	MOVSX ESI,word ptr [EAX + 0x952858]	0F BF B0 58 28 95 00	3	0x30	0x952858
00417d42	production(int,int)	MOV	MOV DL,byte ptr [ESI + 0x952836]	8A 96 36 28 95 00	2	0xE	0x952836
00417d4c	production(int,int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
00417d69	production(int,int)	MOV	MOV byte ptr [ESI + 0x952839],0x0	C6 86 39 28 95 00 00	2	0x11	0x952839
00417d70	production(int,int)	MOV	MOV ECX,dword ptr [ESI + 0x95282c]	8B 8E 2C 28 95 00	2	0x4	0x95282C
00417d7b	production(int,int)	MOV	MOV dword ptr [ESI + 0x95282c],ECX	89 8E 2C 28 95 00	2	0x4	0x95282C
00417d90	production(int,int)	MOVSX	MOVSX EDI,word ptr [ESI + 0x952858]	0F BF BE 58 28 95 00	3	0x30	0x952858
0041a8d5	check_veh(int)	MOV	MOV DI,word ptr [ECX + 0x952828]	66 8B B9 28 28 95 00	3	0x0	0x952828
0041a8e8	check_veh(int)	MOV	MOV DI,word ptr [ECX + 0x95282a]	66 8B B9 2A 28 95 00	3	0x2	0x95282A
0041a8f8	check_veh(int)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952856]	0F BF 89 56 28 95 00	3	0x2E	0x952856
0041d9f7	on_button_clicked(int)	MOV	MOV AX,word ptr [EAX + 0x952858]	66 8B 80 58 28 95 00	3	0x30	0x952858
0041da0b	on_button_clicked(int)	MOV	MOV AX,word ptr [EAX + 0x952858]	66 8B 80 58 28 95 00	3	0x30	0x952858
00421d2a	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952832]	0F BF 80 32 28 95 00	3	0xA	0x952832
00421d53	battle_report(int,int,int,int,int)	MOVSX	MOVSX ECX,word ptr [ECX*0x4 + 0x952832]	0F BF 0C 8D 32 28 95 00	4	0xA	0x952832
00421d9e	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [EDX*0x4 + 0x952832]	0F BF 04 95 32 28 95 00	4	0xA	0x952832
00421dc5	battle_report(int,int,int,int,int)	MOV	MOV AL,byte ptr [ECX + 0x952836]	8A 81 36 28 95 00	2	0xE	0x952836
00421ddf	battle_report(int,int,int,int,int)	MOV	MOV DL,byte ptr [EAX + 0x952836]	8A 90 36 28 95 00	2	0xE	0x952836
00421e02	battle_report(int,int,int,int,int)	MOV	MOV DL,byte ptr [EAX + 0x952836]	8A 90 36 28 95 00	2	0xE	0x952836
00421e96	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00421fc9	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
0042218d	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
004221d0	battle_report(int,int,int,int,int)	MOV	MOV DL,byte ptr [ESI + 0x952838]	8A 96 38 28 95 00	2	0x10	0x952838
00422227	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00422252	battle_report(int,int,int,int,int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
004222e7	battle_report(int,int,int,int,int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
00422339	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00422358	battle_report(int,int,int,int,int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
004223a1	battle_report(int,int,int,int,int)	MOV	MOV CL,byte ptr [ESI + 0x952836]	8A 8E 36 28 95 00	2	0xE	0x952836
00422513	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
0042258a	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
004225af	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
004225d0	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00422644	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00422678	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [EAX + 0x952832]	0F BF 80 32 28 95 00	3	0xA	0x952832
004226c9	battle_report(int,int,int,int,int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
004226fe	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
0042274e	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
00422aba	battle_report(int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00422b01	battle_report(int,int,int,int,int)	MOV	MOV DL,byte ptr [ECX + 0x952838]	8A 91 38 28 95 00	2	0x10	0x952838
0042ca86	draw_unit(void)	MOV	MOV byte ptr [ECX*0x4 + 0x95284c],0x4	C6 04 8D 4C 28 95 00 04	3	0x24	0x95284C
00433554	draw_reactor(int,RECT_*,int)	CMP	CMP EAX,0x952830	3D 30 28 95 00	1	0x8	0x952830
00434204	exec(int,int,int,int,int,int,int,int,int,int,uchar_*)	CMP	CMP EAX,0x952830	3D 30 28 95 00	1	0x8	0x952830
0043aa51	select_reactor(void)	CMP	CMP EAX,0x952830	3D 30 28 95 00	1	0x8	0x952830
0043aaca	select_reactor(void)	CMP	CMP ECX,0x952830	81 F9 30 28 95 00	2	0x8	0x952830
0043dbf9	draw_stack(void)	MOVSX	MOVSX EAX,word ptr [EDX*0x4 + 0x952832]	0F BF 04 95 32 28 95 00	4	0xA	0x952832
0043e092	draw_flash(void)	MOVSX	MOVSX EAX,word ptr [EDX*0x4 + 0x952832]	0F BF 04 95 32 28 95 00	4	0xA	0x952832
0043e19a	draw_flash(void)	MOVSX	MOVSX EAX,word ptr [EAX*0x4 + 0x952832]	0F BF 04 85 32 28 95 00	4	0xA	0x952832
0043e1c1	draw_flash(void)	MOVSX	MOVSX EAX,word ptr [EDX*0x4 + 0x952832]	0F BF 04 95 32 28 95 00	4	0xA	0x952832
00446d66	ambience_veh(int)	MOV	MOV AL,byte ptr [ECX + 0x952839]	8A 81 39 28 95 00	2	0x11	0x952839
00446d74	ambience_veh(int)	MOV	MOV DI,word ptr [ECX + 0x952832]	66 8B B9 32 28 95 00	3	0xA	0x952832
00446d94	ambience_veh(int)	MOV	MOV AL,byte ptr [ECX + 0x952836]	8A 81 36 28 95 00	2	0xE	0x952836
00446e02	ambience_veh(int)	MOV	MOV AL,byte ptr [ECX + 0x952836]	8A 81 36 28 95 00	2	0xE	0x952836
0044bad6	help_tech_info(void_(*)(char_*),int,int,int)	CMP	CMP ESI,0x952828	81 FE 28 28 95 00	2	0x0	0x952828
0045d1d4	on_iface_button_clicked(int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x952858]	66 8B 0C 8D 58 28 95 00	4	0x30	0x952858
0045d1ea	on_iface_button_clicked(int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x952858]	66 8B 0C 8D 58 28 95 00	4	0x30	0x952858
004611fb	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00461224	check(int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x95282a]	0F BF 8F 2A 28 95 00	3	0x2	0x95282A
0046122b	check(int)	MOVSX	MOVSX EDX,word ptr [EDI + 0x952828]	0F BF 97 28 28 95 00	3	0x0	0x952828
00461275	check(int)	MOV	MOV CX,word ptr [EDI + 0x952832]	66 8B 8F 32 28 95 00	3	0xA	0x952832
004612c5	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00461319	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x95282a]	0F BF 87 2A 28 95 00	3	0x2	0x95282A
00461320	check(int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952828]	0F BF 8F 28 28 95 00	3	0x0	0x952828
0046139a	check(int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952832]	0F BF 8F 32 28 95 00	3	0xA	0x952832
004613d1	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00461447	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
00461472	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
004614ba	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
004614fc	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x95282a]	0F BF 87 2A 28 95 00	3	0x2	0x95282A
0046150a	check(int)	MOVSX	MOVSX ECX,word ptr [EDI + 0x952828]	0F BF 8F 28 28 95 00	3	0x0	0x952828
004615b4	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
004615d9	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x95282a]	0F BF 87 2A 28 95 00	3	0x2	0x95282A
004615e7	check(int)	MOVSX	MOVSX EDX,word ptr [EDI + 0x952828]	0F BF 97 28 28 95 00	3	0x0	0x952828
00461617	check(int)	MOV	MOV DL,byte ptr [EDI + 0x952836]	8A 97 36 28 95 00	2	0xE	0x952836
0046167d	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
004616d1	check(int)	MOVSX	MOVSX EAX,word ptr [EDI + 0x952832]	0F BF 87 32 28 95 00	3	0xA	0x952832
004616f1	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
0046171d	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
0046172b	check(int)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952828]	0F BF 89 28 28 95 00	3	0x0	0x952828
004618ce	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952832]	0F BF 81 32 28 95 00	3	0xA	0x952832
00461900	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
0046190e	check(int)	MOVSX	MOVSX EBX,word ptr [ECX + 0x952828]	0F BF 99 28 28 95 00	3	0x0	0x952828
00461941	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
0046194f	check(int)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952828]	0F BF 89 28 28 95 00	3	0x0	0x952828
00461a17	check(int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x952832]	0F BF 83 32 28 95 00	3	0xA	0x952832
00461a61	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
00461a6f	check(int)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952828]	0F BF 89 28 28 95 00	3	0x0	0x952828
00461bd0	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
00461bde	check(int)	MOVSX	MOVSX ECX,word ptr [ECX + 0x952828]	0F BF 89 28 28 95 00	3	0x0	0x952828
00461c29	check(int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x95282a]	0F BF 81 2A 28 95 00	3	0x2	0x95282A
00461c37	check(int)	MOVSX	MOVSX EDX,word ptr [ECX + 0x952828]	0F BF 91 28 28 95 00	3	0x0	0x952828
00461dcf	check(int)	MOVSX	MOVSX EAX,word ptr [EBX + 0x95282a]	0F BF 83 2A 28 95 00	3	0x2	0x95282A
00461ddd	check(int)	MOVSX	MOVSX ECX,word ptr [EBX + 0x952828]	0F BF 8B 28 28 95 00	3	0x0	0x952828
004637df	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOV	MOV DL,byte ptr [ECX + 0x952836]	8A 91 36 28 95 00	2	0xE	0x952836
004637f1	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ECX + 0x952858]	0F BF 81 58 28 95 00	3	0x30	0x952858
0046396c	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x95285a]	66 8B 0C 8D 5A 28 95 00	4	0x32	0x95285A
00463982	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOV	MOV CX,word ptr [ECX*0x4 + 0x95285a]	66 8B 0C 8D 5A 28 95 00	4	0x32	0x95285A
004639a3	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOV	MOV AL,byte ptr [ESI + 0x952836]	8A 86 36 28 95 00	2	0xE	0x952836
004639ad	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOVSX	MOVSX ECX,word ptr [ESI + 0x952832]	0F BF 8E 32 28 95 00	3	0xA	0x952832
004639c3	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOVSX	MOVSX EAX,word ptr [ESI + 0x952832]	0F BF 86 32 28 95 00	3	0xA	0x952832
004639fd	gen_terrain_poly(Buffer_*,MapWin_*,int,int,int,int,int,int,int,int)	MOVSX	MOVSX EDI,word ptr [ESI + 0x952858]	0F BF BE 58 28 95 00	3	0x30	0x952858
00467076	draw_vehicles(int,int,int,int,int)	MOVSX	MOVSX EDX,word ptr [EAX + 0x952856]	0F BF 90 56 28 95 00	3	0x2E	0x952856
00467081	draw_vehicles(int,int,int,int,int)	MOVSX	MOVSX ESI,word ptr [EAX + 0x952858]	0F BF B0 58 28 95 00	3	0x30	0x952858
004670b3	draw_vehicles(int,int,int,int,int)	MOV	MOV CL,byte ptr [EAX + 0x952836]	8A 88 36 28 95 00	2	0xE	0x952836
004670bd	draw_vehicles(int,int,int,int,int)	MOV	MOV DX,word ptr [EAX + 0x952830]	66 8B 90 30 28 95 00	3	0x8	0x952830
004670da	draw_vehicles(int,int,int,int,int)	TEST	TEST byte ptr [EAX + 0x95284f],DL	84 90 4F 28 95 00	2	0x27	0x95284F
